Codigo;Acao;Tipo;QtdeTeorica;Participacao;
RRRP3;3R PETROLEUM;ON      NM;238.441.689;0,330;
ALOS3;ALLOS;ON      NM;532.616.595;0,609;
ABEV3;AMBEV S/A;ON;4.394.245.879;2,811;
ASAI3;ASSAI;ON      NM;1.349.217.892;0,680;
AZUL4;AZUL;PN      N2;332.825.777;0,122;
AZZA3;AZZAS 2154;ON      NM;122.670.748;0,308;
B3SA3;B3;ON      NM;5.602.790.110;3,441;
BBSE3;BBSEGURIDADE;ON  ED  NM;671.750.768;1,186;
BBDC4;BRADESCO;PN      N1;5.135.772.281;3,781;
BBAS3;BRASIL;ON      NM;2.842.247.534;3,965;
BRFS3;BRF SA;ON      NM;835.221.269;0,998;
BPAC11;BTGP BANCO;UNT     N2;1.150.645.866;2,041;
CMIG4;CEMIG;PN      N1;1.868.640.510;1,068;
CPLE6;COPEL;PNB     N2;1.679.233.590;0,860;
CSAN3;COSAN;ON      NM;1.168.966.848;0,772;
CYRE3;CYRELA REALT;ON      NM;265.784.616;0,280;
ELET3;ELETROBRAS;ON      N1;1.977.081.146;3,922;
EMBR3;EMBRAER;ON      NM;734.632.601;1,605;
EQTL3;EQUATORIAL;ON      NM;1.155.467.134;1,981;
GGBR4;GERDAU;PN  ED  N1;1.246.339.197;1,055;
NTCO3;GRUPO NATURA;ON      NM;849.346.756;0,578;
HAPV3;HAPVIDA;ON      NM;4.394.332.306;0,923;
HYPE3;HYPERA;ON      NM;409.490.388;0,624;
ITSA4;ITAUSA;PN      N1;5.560.910.983;2,992;
ITUB4;ITAUUNIBANCO;PN      N1;4.801.593.832;8,675;
JBSS3;JBS;ON      NM;1.134.986.472;2,034;
KLBN11;KLABIN S/A;UNT     N2;777.422.123;0,803;
RENT3;LOCALIZA;ON      NM;863.138.188;1,808;
LREN3;LOJAS RENNER;ON      NM;951.452.770;0,755;
MGLU3;MAGAZ LUIZA;ON      NM;351.757.412;0,218;
MRVE3;MRV;ON      NM;375.130.280;0,134;
MULT3;MULTIPLAN;ON      N2;268.505.432;0,348;
PETR3;PETROBRAS;ON      N2;3.701.760.571;7,566;
PETR4;PETROBRAS;PN      N2;4.566.445.852;8,646;
PRIO3;PETRORIO;ON      NM;804.019.521;1,945;
RADL3;RAIADROGASIL;ON      NM;1.280.079.284;1,848;
RDOR3;REDE D OR;ON      NM;1.144.776.793;1,779;
RAIL3;RUMO S.A.;ON      NM;1.218.352.541;1,390;
SBSP3;SABESP;ON      NM;531.714.843;2,581;
CSNA3;SID NACIONAL;ON;600.865.451;0,334;
SUZB3;SUZANO S.A.;ON      NM;664.114.223;1,777;
TIMS3;TIM;ON      NM;807.896.814;0,726;
TOTS3;TOTVS;ON      NM;514.122.351;0,746;
UGPA3;ULTRAPAR;ON  ED  NM;1.087.228.062;1,283;
USIM5;USIMINAS;PNA     N1;515.117.391;0,154;
VALE3;VALE;ON      NM;4.427.123.466;12,209;
VBBR3;VIBRA;ON      NM;1.114.613.709;1,427;
WEGE3;WEG;ON      NM;1.482.105.837;3,882;
